City,State,Cost of Living Index,total_crime,Average Income,latitude,longitude,temp_month_1,precip_month_1,temp_month_2,precip_month_2,temp_month_3,precip_month_3,temp_month_4,precip_month_4,temp_month_5,precip_month_5,temp_month_6,precip_month_6,temp_month_7,precip_month_7,temp_month_8,precip_month_8,temp_month_9,precip_month_9,temp_month_10,precip_month_10,temp_month_11,precip_month_11,temp_month_12,precip_month_12,avg_annual_temp,avg_annual_precip
Scranton,PA,91.3,6,56985.0,41.4086874,-75.6621294,2.08,79.29,1.27,32.66,2.95,65.13,11.37,113.89,13.52,29.83,18.44,82.78,22.74,181.28,20.21,176.66,17.56,139.78,12.49,109.89,3.73,58.93,3.25,154.74,10.800833333333335,102.07166666666666
Searcy,AR,85.4,4,46269.0,35.9018987,-92.7098744,5.7,77.51,7.62,124.33,9.37,231.02,13.88,88.3,19.37,90.99,23.28,86.36,25.84,118.56,25.9,97.27,21.62,84.91,15.5,191.21,9.0,36.73,6.09,57.78,15.264166666666668,107.08083333333332
Seattle,WA,124.6,328,122235.0,47.6038321,-122.330062,5.91,75.88,4.96,53.79,6.92,62.26,9.27,69.77,15.77,17.92,16.25,25.1,19.87,3.62,20.68,11.95,16.22,76.08,12.12,62.67,7.11,103.19,7.0,167.09,11.840000000000002,60.77666666666667
Sebring,FL,93.1,0,44177.0,27.4957453,-81.4410425,17.58,19.17,20.81,6.18,21.57,11.32,24.45,115.25,25.18,80.63,27.34,295.36,28.97,241.89,29.13,198.3,27.49,268.02,24.2,74.02,21.37,43.66,18.1,84.71,23.849166666666665,119.87583333333335
Seneca,SC,94.0,0,57361.0,34.6865321,-82.9527288,7.95,198.29,11.54,90.73,12.11,96.23,15.24,191.85,18.73,69.32,21.85,153.06,25.96,77.46,25.44,148.19,21.93,72.54,16.45,28.93,10.71,24.37,7.82,147.32,16.31083333333333,108.19083333333333
Sevierville,TN,103.5,0,57533.0,35.8681455,-83.561835,6.42,153.06,9.77,129.63,10.42,123.91,14.8,85.88,18.39,74.31,21.67,129.5,25.39,140.99,25.06,212.85,22.31,25.7,15.72,34.02,10.39,43.28,6.74,112.09,15.589999999999998,105.43499999999999
Shawnee,OK,82.4,4,49485.0,35.3272928,-96.9253004,6.36,32.48,7.09,76.69,10.45,125.11,15.2,79.47,20.52,130.5,24.82,74.0,27.55,163.41,28.95,72.44,25.15,61.84,17.18,128.57,11.44,24.75,7.76,67.37,16.8725,86.38583333333334
Sheboygan,WI,89.7,0,63878.0,43.7128967,-87.9370433,-2.43,27.02,-3.16,75.88,0.14,77.01,8.04,58.96,13.14,28.12,18.89,46.04,21.69,118.66,20.29,118.58,17.92,33.74,11.14,97.41,2.94,26.84,2.01,50.39,9.2175,63.22083333333334
Shelby,NC,88.1,0,47778.0,35.2923513,-81.5356463,7.69,161.32,10.62,77.22,11.1,67.9,14.75,200.15,17.96,82.09,21.09,123.39,25.6,120.46,24.86,120.02,21.96,32.61,15.78,17.49,9.32,32.98,6.81,184.78,15.628333333333336,101.70083333333334
Shelton,WA,109.6,0,54701.0,47.2150945,-123.100706,5.13,180.11,4.38,103.2,5.61,130.14,8.35,180.67,15.58,11.11,16.04,13.62,18.97,7.1,20.45,12.34,15.61,82.9,11.46,98.34,5.99,219.47,6.4,295.28,11.164166666666667,111.19
Sherman,TX,91.3,3,55946.0,36.2452294,-101.8858689,3.11,7.75,4.7,6.01,8.23,6.16,13.37,34.49,19.11,138.39,21.82,96.42,26.56,81.26,26.4,25.83,23.29,32.25,15.46,14.86,8.72,6.45,5.47,72.01,14.686666666666667,43.49
Show Low,AZ,101.9,0,44667.0,34.2542084,-110.029832,-0.99,63.92,-0.35,42.04,3.85,50.11,9.56,0.1,13.69,8.9,16.9,1.24,24.0,40.12,21.44,49.65,18.15,21.16,12.58,3.33,5.89,19.96,2.24,15.11,10.58,26.30333333333333
Shreveport,LA,85.8,26,64383.0,32.5135356,-93.7477839,11.56,230.02,13.05,103.57,16.27,117.42,17.51,249.72,23.34,112.05,27.41,113.5,29.44,73.72,31.7,16.34,26.83,98.64,20.13,106.56,13.67,59.63,10.4,50.59,20.109166666666667,110.98
Sierra Vista,AZ,93.2,1,53304.0,31.5545973,-110.2997756,6.57,29.99,6.62,21.8,10.57,15.65,15.26,0.0,19.17,6.95,23.08,0.06,28.33,33.19,26.06,58.3,23.76,28.07,18.69,8.6,12.82,1.56,8.3,35.82,16.6025,19.999166666666664
Sioux City,IA,87.1,6,53685.0,42.4966815,-96.4058782,-6.16,35.48,-3.89,32.41,0.23,31.14,9.77,34.54,18.19,108.15,22.81,55.0,22.64,85.51,23.7,72.66,20.34,100.14,11.06,117.91,4.39,5.41,0.5,40.55,10.298333333333334,59.908333333333324
Sioux Falls,SD,92.8,4,74873.0,43.5476008,-96.7293629,-8.2,51.37,-6.9,37.02,-2.81,30.55,7.38,25.11,17.55,32.13,22.77,48.4,21.51,51.11,22.82,104.06,19.52,18.52,10.32,74.44,3.1,0.49,0.1,45.69,8.93,43.240833333333335
Somerset,PA,89.3,2,49685.0,39.9980022,-79.0415528,0.7,113.44,1.74,80.54,2.26,105.1,9.52,65.5,11.56,69.38,15.77,109.9,20.54,155.41,18.78,102.94,15.63,68.2,10.67,85.1,3.08,60.73,2.14,67.26,9.365833333333333,90.29166666666669
South Bend,IN,87.2,102,,41.6833813,-86.2500066,0.98,60.27,1.04,104.02,2.94,135.51,10.18,74.37,15.76,52.29,20.05,56.59,22.33,171.63,21.34,65.31,18.71,45.87,12.38,153.08,5.0,20.15,3.79,72.7,11.208333333333334,84.31583333333334
Spartanburg,SC,91.0,33,53700.0,34.9498007,-81.9320157,8.45,181.79,11.44,82.03,12.29,80.77,15.69,200.48,18.82,71.9,22.19,123.69,26.49,114.75,25.91,136.94,22.39,34.02,16.7,20.91,10.75,35.19,7.87,139.3,16.5825,101.81416666666667
Spokane,WA,100.4,45,58630.0,47.6571934,-117.42351,-0.11,32.92,0.3,19.29,3.43,25.79,8.11,28.91,17.32,37.28,18.95,21.11,22.89,3.55,21.89,33.08,16.12,15.13,10.31,10.77,2.69,46.1,1.88,85.61,10.315,29.96166666666667
Springfield,IL,87.5,25,60497.0,39.7990175,-89.6439575,1.51,48.33,2.68,53.48,5.23,81.56,12.21,52.62,18.18,88.37,22.18,32.56,23.95,80.54,22.79,137.96,20.19,55.03,13.44,87.04,6.38,19.43,4.27,74.0,12.750833333333333,67.57666666666667
Springfield,MA,106.5,21,64105.0,42.1018764,-72.5886727,2.05,150.11,0.48,47.21,3.75,100.25,11.18,133.69,14.46,71.79,19.44,56.51,24.43,273.99,21.34,97.96,18.91,217.88,13.69,76.26,3.88,51.6,3.42,195.29,11.419166666666664,122.71166666666666
Springfield,MO,86.7,88,56350.0,37.2081729,-93.2922715,3.66,72.35,5.39,76.74,7.16,184.61,13.45,43.34,18.72,163.28,22.76,54.43,25.87,92.1,25.2,141.04,21.37,125.63,14.68,90.41,8.84,29.56,5.75,46.28,14.404166666666669,93.31416666666665
Springfield,OH,87.5,11,50553.0,39.9234046,-83.810138,3.0,106.6,4.07,47.23,5.24,164.9,11.54,94.74,15.89,73.94,19.79,84.24,23.36,160.73,21.71,129.35,19.21,12.31,13.7,63.94,6.16,36.67,4.9,57.68,12.380833333333333,86.02749999999999
St. Cloud,MN,95.4,0,63053.0,45.5616075,-94.1642004,-8.42,41.4,-8.86,43.65,-4.68,60.18,4.7,100.43,16.38,20.24,21.75,26.38,21.28,59.97,21.39,90.94,18.42,59.95,9.4,96.32,1.69,1.49,-0.52,84.28,7.710833333333334,57.1025
St. George,UT,98.0,0,54405.0,37.104153,-113.584131,5.4,78.87,6.37,19.51,8.68,88.32,16.42,2.62,22.6,5.94,25.29,6.95,33.41,1.37,28.63,46.52,23.93,61.37,19.19,4.31,11.74,12.28,8.8,3.94,17.538333333333338,27.66666666666666
St. Joseph,MO,85.5,0,51741.0,39.7686055,-94.8466322,-0.06,36.29,1.42,99.98,4.49,32.16,11.95,51.71,19.17,91.82,23.1,88.16,24.47,147.09,24.74,98.74,21.8,33.57,13.98,46.17,6.91,37.02,4.2,91.57,13.014166666666663,71.19
St. Louis,MO,89.6,3,101151.0,38.6280278,-90.1910154,3.73,46.21,5.45,45.84,7.22,146.45,13.84,54.17,19.64,57.86,23.61,89.69,26.33,117.24,25.19,92.35,21.94,51.18,15.44,50.53,8.27,21.35,6.79,63.8,14.7875,69.7225
State College,PA,99.8,0,57800.0,40.7944504,-77.8616386,2.83,89.6,2.63,42.82,3.6,65.22,11.55,70.83,13.9,37.97,18.46,99.78,22.71,172.26,20.91,163.7,17.36,83.52,12.39,77.27,4.79,50.45,3.39,93.45,11.209999999999999,87.23916666666666
Statesboro,GA,91.1,68,40939.0,32.4490141,-81.7832912,11.41,138.07,15.49,89.24,16.14,80.55,18.87,132.52,20.96,122.31,24.89,198.96,28.29,159.44,27.91,282.13,23.92,64.46,18.67,54.85,13.88,42.84,11.1,130.01,19.294166666666666,124.61500000000001
Staunton,VA,94.5,3,,38.1495947,-79.072557,6.21,34.16,7.69,77.94,8.01,37.7,14.28,88.92,16.12,47.21,19.51,119.06,24.16,98.24,22.96,35.44,19.71,90.4,14.36,12.76,7.71,62.75,6.11,104.79,13.902500000000002,67.4475
Stevens Point,WI,91.5,5,57490.0,44.5234467,-89.5844457,-4.67,34.24,-5.25,50.77,-1.25,67.07,7.03,113.73,13.92,53.99,19.83,42.69,20.84,79.4,20.61,50.19,17.86,100.23,10.12,199.72,1.79,5.27,0.35,24.86,8.431666666666667,68.51333333333334
Stillwater,OK,86.3,64,47401.0,36.1156306,-97.0585717,5.37,21.47,6.32,29.62,10.12,14.02,15.33,105.04,20.55,112.34,25.09,100.2,27.96,139.8,28.38,110.02,24.93,30.54,16.87,85.03,10.86,32.16,7.38,101.18,16.596666666666668,73.45166666666665
Stockton,CA,113.6,28,59361.0,37.9577016,-121.290779,10.2,174.24,9.37,57.21,11.1,146.21,15.75,4.06,18.61,10.32,21.45,0.06,26.27,0.0,26.13,0.19,22.03,0.98,19.41,5.43,13.08,14.74,11.4,79.46,17.066666666666666,41.075
Sumter,SC,88.1,0,49704.0,33.9204354,-80.3414693,10.91,151.46,14.14,96.36,13.87,56.49,18.44,103.73,20.47,70.5,24.49,174.76,28.35,129.39,28.17,188.32,23.84,73.24,18.24,47.03,12.94,63.48,10.38,112.36,18.686666666666664,105.59333333333332
Sunbury,PA,88.6,2,50445.0,40.8619754,-76.7936252,3.23,86.18,2.96,26.87,4.18,60.75,12.06,109.06,14.37,39.33,19.22,101.44,23.39,217.89,21.51,163.16,18.63,101.14,13.21,95.77,4.78,41.19,3.31,128.37,11.737499999999999,97.59583333333335
